SET-WRITE capture start (25G83 adaptation 3)
WRITE t=53860126 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=520093711 a4=0
SET t=53860146 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=0
WRITE t=53860150 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483648 a4=0
WRITE t=53860157 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=712 a3=15 a4=0
WRITE t=53860168 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=712 a3=268435471 a4=0
WRITE t=53861810 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=712 a3=1008 a4=0
SET t=53861824 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=0
WRITE t=53861828 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483648 a4=0
WRITE t=53861832 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251658495 a4=0
WRITE t=53861837 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=8192 a3=0 a4=0
WRITE t=53861853 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251659248 a4=0
WRITE t=53861865 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=53861872 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=53861876 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=53861887 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=53861892 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
